City,State,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Abilene,TX,5491,5239,5272,5427,5771,5924,-4.6,0.6,3,6.3,2.6,109
Akron,OH,29620,27761,28438,28825,29709,29662,-6.3,2.4,1.4,3.1,-0.2,303
Albany,GA,4917,4957,4868,4753,4813,4857,0.8,-1.8,-2.4,1.3,0.9,225
Albany,OR,3153,3064,2974,3017,3114,3130,-2.8,-3,1.4,3.2,0.5,256
Albany-Schenectady-Troy,NY,41478,42454,42470,42469,43146,43562,2.4,0,0,1.6,1,218
Albuquerque,NM,37925,38110,38386,39069,39669,39618,0.5,0.7,1.8,1.5,-0.1,301
Alexandria,LA,5358,5307,5404,5004,5022,4995,-0.9,1.8,-7.4,0.4,-0.5,319
Allentown-Bethlehem-Easton,PA-NJ,31200,30082,31142,31447,31979,32416,-3.6,3.5,1,1.7,1.4,192
Altoona,PA,4357,4334,4353,4327,4393,4449,-0.5,0.4,-0.6,1.5,1.3,200
Amarillo,TX,9737,9742,9932,9937,10219,10546,0.1,1.9,0.1,2.8,3.2,86
Ames,IA,4676,4246,4541,4327,4504,4648,-9.2,6.9,-4.7,4.1,3.2,85
Anchorage,AK,24167,26771,26379,26967,28393,27487,10.8,-1.5,2.2,5.3,-3.2,374
Ann Arbor,MI,19624,18573,19213,18961,19260,19389,-5.4,3.4,-1.3,1.6,0.7,242
Anniston-Oxford-Jacksonville,AL,3962,3743,3777,3707,3625,3518,-5.5,0.9,-1.9,-2.2,-3,371
Appleton,WI,10054,10035,10042,10187,10267,10393,-0.2,0.1,1.4,0.8,1.2,202
Asheville,NC,14271,14334,14219,14085,14353,14787,0.4,-0.8,-0.9,1.9,3,94
Athens-Clarke County,GA,6685,6615,6663,6652,6777,6792,-1,0.7,-0.2,1.9,0.2,275
Atlanta-Sandy Springs-Roswell,GA,283754,272865,274941,278326,282468,288175,-3.8,0.8,1.2,1.5,2,151
Atlantic City-Hammonton,NJ,13827,13015,13042,12782,12868,12760,-5.9,0.2,-2,0.7,-0.8,331
Auburn-Opelika,AL,3775,3692,3843,4040,4152,4293,-2.2,4.1,5.1,2.8,3.4,73
Augusta-Richmond County,GA-SC,18783,18780,19352,19634,19740,19497,0,3,1.5,0.5,-1.2,347
Austin-Round Rock,TX,83520,81743,86546,90380,96035,98126,-2.1,5.9,4.4,6.3,2.2,142
Bakersfield,CA,29235,30667,31151,30698,33018,33408,4.9,1.6,-1.5,7.6,1.2,207
Baltimore-Columbia-Towson,MD,147471,146943,151820,154195,157268,158746,-0.4,3.3,1.6,2,0.9,223
Bangor,ME,5441,5349,5298,5247,5291,5295,-1.7,-0.9,-1,0.8,0.1,286
Barnstable Town,MA,8891,8772,8902,9163,9333,9431,-1.3,1.5,2.9,1.9,1,214
Baton Rouge,LA,39887,40337,43095,42055,42959,45769,1.1,6.8,-2.4,2.2,6.5,17
Battle Creek,MI,5172,4882,5300,5097,5200,5270,-5.6,8.6,-3.8,2,1.4,194
Bay City,MI,2979,2917,2966,2931,2975,3043,-2.1,1.7,-1.2,1.5,2.3,136
Beaumont-Port Arthur,TX,16802,18156,19207,18355,18918,20283,8.1,5.8,-4.4,3.1,7.2,10
Beckley,WV,4017,3830,4123,4340,4199,4594,-4.7,7.6,5.2,-3.2,9.4,3
Bellingham,WA,8056,8442,8727,7862,7987,8671,4.8,3.4,-9.9,1.6,8.6,6
Bend-Redmond,OR,6494,5948,5792,5640,5868,6226,-8.4,-2.6,-2.6,4,6.1,22
Billings,MT,7331,6852,7164,7721,7780,8329,-6.5,4.5,7.8,0.8,7.1,12
Binghamton,NY,8591,8474,8536,8535,8456,8486,-1.4,0.7,0,-0.9,0.4,265
Birmingham-Hoover,AL,54984,51279,52058,53866,56354,55913,-6.7,1.5,3.5,4.6,-0.8,325
Bismarck,ND,4782,4867,5067,5260,5802,6205,1.8,4.1,3.8,10.3,6.9,14
Blacksburg-Christiansburg-Radford,VA,5558,5292,5381,5543,5854,5837,-4.8,1.7,3,5.6,-0.3,312
Bloomington,IL,9254,9505,9727,9720,10145,10551,2.7,2.3,-0.1,4.4,4,54
Bloomington,IN,5936,6053,6102,6009,6086,6058,2,0.8,-1.5,1.3,-0.5,315
Bloomsburg-Berwick,PA,3236,3196,3342,3401,3462,3586,-1.3,4.6,1.8,1.8,3.6,67
Boise City,ID,26086,24773,25332,25345,25660,26869,-5,2.3,0.1,1.2,4.7,34
Boston-Cambridge-Newton,MA-NH,321975,315377,328307,335814,344090,349652,-2,4.1,2.3,2.5,1.6,178
Boulder,CO,18618,17964,18563,18997,19677,20311,-3.5,3.3,2.3,3.6,3.2,83
Bowling Green,KY,5372,4946,5230,5240,5320,5489,-7.9,5.7,0.2,1.5,3.2,89
Bremerton-Silverdale,WA,9122,8967,8981,8969,8891,8825,-1.7,0.2,-0.1,-0.9,-0.7,324
Bridgeport-Stamford-Norwalk,CT,86059,80535,83417,85535,87148,87791,-6.4,3.6,2.5,1.9,0.7,236
Brownsville-Harlingen,TX,7611,7590,7780,7768,7966,8015,-0.3,2.5,-0.2,2.6,0.6,250
Brunswick,GA,3481,3400,3250,3207,3235,3195,-2.3,-4.4,-1.3,0.9,-1.2,345
Buffalo-Cheektowaga-Niagara Falls,NY,46073,46539,47124,47722,48076,48257,1,1.3,1.3,0.7,0.4,263
Burlington,NC,4598,4286,4414,4476,4571,4874,-6.8,3,1.4,2.1,6.6,16
Burlington-South Burlington,VT,10542,10470,11133,11496,11765,12018,-0.7,6.3,3.3,2.3,2.2,145
California-Lexington Park,MD,4846,5063,5353,5559,5534,5421,4.5,5.7,3.9,-0.5,-2,360
Canton-Massillon,OH,13651,12736,13128,13637,14111,14641,-6.7,3.1,3.9,3.5,3.8,64
Cape Coral-Fort Myers,FL,21549,19748,19427,19083,19507,20162,-8.4,-1.6,-1.8,2.2,3.4,76
Cape Girardeau,MO-IL,3455,3530,3477,3421,3469,3482,2.2,-1.5,-1.6,1.4,0.4,266
Carbondale-Marion,IL,4037,4137,4225,4195,4299,4290,2.5,2.1,-0.7,2.5,-0.2,306
Carson City,NV,3011,2774,2823,2745,2667,2673,-7.9,1.8,-2.8,-2.8,0.2,274
Casper,WY,6887,5778,5748,6071,6070,6501,-16.1,-0.5,5.6,0,7.1,11
Cedar Rapids,IA,13348,15339,15833,15971,16187,16381,14.9,3.2,0.9,1.4,1.2,206
Chambersburg-Waynesboro,PA,4387,4140,4171,4175,4193,4287,-5.6,0.8,0.1,0.4,2.3,140
Champaign-Urbana,IL,9107,9232,9359,9155,9253,9402,1.4,1.4,-2.2,1.1,1.6,181
Charleston,WV,12964,12787,12978,13356,12863,13107,-1.4,1.5,2.9,-3.7,1.9,163
Charleston-North Charleston,SC,28028,27641,28137,29577,30215,30667,-1.4,1.8,5.1,2.2,1.5,186
Charlotte-Concord-Gastonia,NC-SC,118539,112306,115229,120092,125714,130318,-5.3,2.6,4.2,4.7,3.7,66
Charlottesville,VA,9578,9577,9932,10284,10615,10540,0,3.7,3.5,3.2,-0.7,323
Chattanooga,TN-GA,21660,20265,20653,20746,21126,20945,-6.4,1.9,0.5,1.8,-0.9,333
Cheyenne,WY,5003,4579,4672,4793,4826,4954,-8.5,2,2.6,0.7,2.7,108
Chicago-Naperville-Elgin,IL-IN-WI,537687,518897,527820,533329,543886,550793,-3.5,1.7,1,2,1.3,201
Chico,CA,6219,6131,6135,5995,6008,6247,-1.4,0.1,-2.3,0.2,4,55
Cincinnati,OH-KY-IN,104745,100626,103388,105251,108972,111279,-3.9,2.7,1.8,3.5,2.1,147
Clarksville,TN-KY,9145,9275,9608,10122,10173,9893,1.4,3.6,5.4,0.5,-2.7,370
Cleveland,TN,3412,3255,3269,3406,3641,3642,-4.6,0.5,4.2,6.9,0,292
Cleveland-Elyria,OH,111357,105035,108304,110772,113827,114448,-5.7,3.1,2.3,2.8,0.5,253
Coeur d'Alene,ID,4463,4253,4198,4180,4086,4223,-4.7,-1.3,-0.4,-2.3,3.4,75
College Station-Bryan,TX,6505,6982,7163,7151,7447,7672,7.3,2.6,-0.2,4.1,3,93
Colorado Springs,CO,24814,24865,25875,26301,26755,26710,0.2,4.1,1.6,1.7,-0.2,304
Columbia,MO,6516,6538,6740,6816,7012,7122,0.3,3.1,1.1,2.9,1.6,182
Columbia,SC,32261,31492,31410,32024,32541,33199,-2.4,-0.3,2,1.6,2,152
Columbus,GA-AL,11286,11605,11972,12112,12167,12108,2.8,3.2,1.2,0.5,-0.5,317
Columbus,IN,4588,3809,4377,4554,4999,4932,-17,14.9,4,9.8,-1.3,349
Columbus,OH,96097,92924,96021,98906,103742,107191,-3.3,3.3,3,4.9,3.3,79
Corpus Christi,TX,16801,17418,17792,17868,19219,20439,3.7,2.1,0.4,7.6,6.3,20
Corvallis,OR,4990,5166,5381,5244,5246,5231,3.5,4.1,-2.5,0,-0.3,311
Crestview-Fort Walton Beach-Destin,FL,11884,11454,10812,11132,11556,11462,-3.6,-5.6,3,3.8,-0.8,328
Cumberland,MD-WV,2598,2664,2760,2751,2738,2706,2.5,3.6,-0.3,-0.5,-1.2,342
Dallas-Fort Worth-Arlington,TX,366320,355667,368015,383369,405081,413627,-2.9,3.5,4.2,5.7,2.1,148
Dalton,GA,5714,5274,4888,4976,5098,5147,-7.7,-7.3,1.8,2.4,1,219
Danville,IL,2506,2453,2505,2495,2521,2495,-2.1,2.1,-0.4,1,-1,338
Daphne-Fairhope-Foley,AL,5629,5512,5557,5588,5678,5909,-2.1,0.8,0.6,1.6,4.1,51
Davenport-Moline-Rock Island,IA-IL,17485,16859,17493,17921,18023,18198,-3.6,3.8,2.4,0.6,1,216
Dayton,OH,35643,33234,33907,34852,35528,35216,-6.8,2,2.8,1.9,-0.9,335
Decatur,AL,5055,4866,4965,4824,5034,5063,-3.7,2,-2.8,4.3,0.6,252
