City,State,CBSA code,2001 GMP,2002 GMP,2002 percent change,2003 GMP,2003 percent change,2004 GMP,2004 percent change,2005 GMP,2005 percent change,2006 GMP,2006 percent change,2007 GMP,2007 percent change,2008 GMP,2008 percent change,2009 GMP,2009 percent change,2010 GMP,2010 percent change,2011 GMP,2011 percent change,2012 GMP,2012 percent change,2013 GMP,2013 percent change,percent change rank 2013,natural resources/mining,construction,durable-goods manufacturing,nondurable-goods manufacturing,trade,transportation/utilities,information,finance/insurance/real estate/rental/leasing,professional/business services,education/health care/social assistance,arts/entertainment/recreation/accommodation/food services,other services except government,government
Abilene,TX,10180,3574,3754,5,4020,7.1,4273,6.3,4514,5.6,4885,8.2,5295,8.4,5491,3.7,5239,-4.6,5272,0.6,5427,2.9,5771,6.3,5924,2.7,109,0.77,0.54,0.04,0.06,0.92,0.26,(D),-0.05,0.16,0.02,(D),-0.02,-0.29
Akron,OH,10420,21646,22742,5.1,23744,4.4,25217,6.2,26649,5.7,27418,2.9,28177,2.8,29620,5.1,27761,-6.3,28438,2.4,28825,1.4,29709,3.1,29662,-0.2,303,-0.09,-0.33,-0.09,0.1,0.37,-0.31,0.05,0.1,0.03,0.13,0.02,0,-0.13
Albany,GA,10500,4317,4346,0.7,4492,3.4,4620,2.8,4800,3.9,4808,0.2,4863,1.1,4917,1.1,4957,0.8,4868,-1.8,4753,-2.4,4813,1.3,4857,0.9,225,0.57,0.37,0.04,-0.08,0.24,(D),(D),0.53,0.11,-0.15,0.03,(D),-0.66
Albany,OR,10540,2366,2492,5.3,2492,0,2844,14.1,2944,3.5,3207,8.9,3173,-1.1,3153,-0.6,3064,-2.8,2974,-2.9,3017,1.4,3114,3.2,3130,0.5,256,0.55,0.44,-0.45,0.09,0.1,-0.31,-0.18,0.06,-0.16,0.44,-0.07,-0.02,0.02
Albany-Schenectady-Troy,NY,10580,30669,31631,3.1,33480,5.8,35672,6.5,37027,3.8,38609,4.3,39209,1.6,41478,5.8,42454,2.4,42470,0,42469,0,43146,1.6,43562,1,218,(D),0.04,(D),(D),(D),(D),0.19,0.06,0,0.24,0.06,-0.05,-0.26
Albuquerque,NM,10740,28812,29179,1.3,31557,8.1,35255,11.7,35794,1.5,36760,2.7,36690,-0.2,37925,3.4,38110,0.5,38386,0.7,39069,1.8,39669,1.5,39618,-0.1,301,0.08,-0.17,(D),(D),0.02,0.09,-0.25,0.14,-0.12,0.1,0.1,-0.1,-0.04
Alexandria,LA,10780,3380,3559,5.3,3684,3.5,4066,10.4,4352,7,4823,10.8,5076,5.2,5358,5.6,5307,-1,5404,1.8,5004,-7.4,5022,0.4,4995,-0.5,319,-0.08,0.26,(D),(D),-0.18,0.38,(D),-0.39,0.06,-1.24,(D),0.47,-0.78
Allentown-Bethlehem-Easton,PA-NJ,10900,23857,24717,3.6,24699,-0.1,25788,4.4,27204,5.5,28631,5.2,29874,4.3,31200,4.4,30082,-3.6,31142,3.5,31447,1,31979,1.7,32416,1.4,192,0.05,(D),0.32,-1.21,(D),0.31,0.35,0.76,1.07,0.18,0.12,-0.06,0.02
Altoona,PA,11020,3295,3333,1.2,3468,4.1,3638,4.9,3832,5.3,3992,4.2,4197,5.1,4357,3.8,4334,-0.5,4353,0.4,4327,-0.6,4393,1.5,4449,1.3,200,-0.06,-0.03,0.21,-0.89,0.12,0.66,0.24,0.5,0.23,0.37,-0.07,-0.04,0.03
Amarillo,TX,11100,6405,6640,3.7,7076,6.6,7561,6.9,8027,6.2,8728,8.7,9232,5.8,9737,5.5,9742,0.1,9932,2,9937,0.1,10219,2.8,10546,3.2,86,2.06,(D),-0.34,0.62,(D),0.14,(D),-0.2,0.41,-0.03,(D),-0.01,0.01
Ames,IA,11180,2702,2778,2.8,3010,8.4,3251,8,3370,3.7,3742,11,3876,3.6,4676,20.6,4246,-9.2,4541,6.9,4327,-4.7,4504,4.1,4648,3.2,85,0.94,0.21,0.1,0.51,0.55,0,0.12,0.21,0.34,0.07,0.01,-0.05,0.19
Anchorage,AK,11260,15496,16111,4,17396,8,19307,11,22010,14,23786,8.1,25687,8,24167,-5.9,26771,10.8,26379,-1.5,26967,2.2,28393,5.3,27487,-3.2,374,-2.92,-0.05,0.01,0.02,(D),(D),0,-0.53,0.46,0.08,0.02,0.01,-0.36
Ann Arbor,MI,11460,15947,17166,7.6,17818,3.8,18051,1.3,18565,2.8,18764,1.1,19585,4.4,19624,0.2,18573,-5.4,19213,3.4,18961,-1.3,19260,1.6,19389,0.7,242,0.03,-0.04,0.41,0.14,0.01,-0.07,0.21,0.16,0.4,0.18,0.1,-0.06,-0.81
Anniston-Oxford-Jacksonville,AL,11500,2522,2674,6,2862,7,3188,11.4,3403,6.7,3558,4.6,3788,6.5,3962,4.6,3743,-5.5,3777,0.9,3707,-1.9,3625,-2.2,3518,-3,371,0.05,-0.01,0.84,0.17,-1.7,-0.08,-0.09,0.36,-1.76,0.09,-0.04,-0.09,-0.69
Appleton,WI,11540,7602,7639,0.5,8117,6.3,8695,7.1,9091,4.6,9414,3.6,9868,4.8,10054,1.9,10035,-0.2,10042,0.1,10187,1.4,10267,0.8,10393,1.2,202,0.54,-0.99,0.42,0.53,0.48,-0.03,0.03,0.25,0.23,-0.22,0,0.12,-0.12
Asheville,NC,11700,9741,10224,5,10657,4.2,11422,7.2,12126,6.2,13037,7.5,13471,3.3,14271,5.9,14334,0.4,14219,-0.8,14085,-0.9,14353,1.9,14787,3,94,0.27,-0.2,(D),(D),(D),(D),-0.02,0.36,0.3,0.76,0.33,-0.1,-0.05
Athens-Clarke County,GA,12020,4755,4853,2.1,5117,5.4,5385,5.2,5730,6.4,5945,3.8,6210,4.5,6685,7.6,6615,-1,6663,0.7,6652,-0.2,6777,1.9,6792,0.2,275,0.13,-0.06,(D),(D),0.91,(D),(D),0.38,0.03,0.16,0.16,0,-0.52
Atlanta-Sandy Springs-Roswell,GA,12060,214894,220459,2.6,226723,2.8,237610,4.8,254175,7,267250,5.1,280130,4.8,283754,1.3,272865,-3.8,274941,0.8,278326,1.2,282468,1.5,288175,2,151,0.03,(D),(D),(D),(D),0.17,(D),0.4,0.25,0.3,0.08,0,-0.22
