City,State,CBSA code,percent change GDP,natural resources/mining,construction,durable-goods manufacturing,nondurable-goods manufacturing,trade,transportation/utilities,information,finance/insurance/real estate/rental/leasing,professional/business services,education/health care/social assistance,arts/entertainment/recreation/accommodation/food services,other services except government,government,,*NOTE: (D) is hidden to protect confidential information
Abilene,TX,10180,2.6,0.77,0.54,0.04,0.06,0.92,0.26,(D),-0.05,0.16,0.02,(D),-0.02,-0.29,,
Akron,OH,10420,-0.2,-0.09,-0.33,-0.09,0.1,0.37,-0.31,0.05,0.1,0.03,0.13,0.02,0,-0.13,,
Albany,GA,10500,0.9,0.57,0.37,0.04,-0.08,0.24,(D),(D),0.53,0.11,-0.15,0.03,(D),-0.66,,
Albany,OR,10540,0.5,0.55,0.44,-0.45,0.09,0.1,-0.31,-0.18,0.06,-0.16,0.44,-0.07,-0.02,0.02,,
Albany-Schenectady-Troy,NY,10580,1,(D),0.04,(D),(D),(D),(D),0.19,0.06,0,0.24,0.06,-0.05,-0.26,,
Albuquerque,NM,10740,-0.1,0.08,-0.17,(D),(D),0.02,0.09,-0.25,0.14,-0.12,0.1,0.1,-0.1,-0.04,,
Alexandria,LA,10780,-0.5,-0.08,0.26,(D),(D),-0.18,0.38,(D),-0.39,0.06,-1.24,(D),0.47,-0.78,,
Allentown-Bethlehem-Easton,PA-NJ,10900,1.4,0.05,(D),0.32,-1.21,(D),0.31,0.35,0.76,1.07,0.18,0.12,-0.06,0.02,,
Altoona,PA,11020,1.3,-0.06,-0.03,0.21,-0.89,0.12,0.66,0.24,0.5,0.23,0.37,-0.07,-0.04,0.03,,
Amarillo,TX,11100,3.2,2.06,(D),-0.34,0.62,(D),0.14,(D),-0.2,0.41,-0.03,(D),-0.01,0.01,,
Ames,IA,11180,3.2,0.94,0.21,0.1,0.51,0.55,0,0.12,0.21,0.34,0.07,0.01,-0.05,0.19,,
Anchorage,AK,11260,-3.2,-2.92,-0.05,0.01,0.02,(D),(D),0,-0.53,0.46,0.08,0.02,0.01,-0.36,,
Ann Arbor,MI,11460,0.7,0.03,-0.04,0.41,0.14,0.01,-0.07,0.21,0.16,0.4,0.18,0.1,-0.06,-0.81,,
Anniston-Oxford-Jacksonville,AL,11500,-3,0.05,-0.01,0.84,0.17,-1.7,-0.08,-0.09,0.36,-1.76,0.09,-0.04,-0.09,-0.69,,
Appleton,WI,11540,1.2,0.54,-0.99,0.42,0.53,0.48,-0.03,0.03,0.25,0.23,-0.22,0,0.12,-0.12,,
Asheville,NC,11700,3,0.27,-0.2,(D),(D),(D),(D),-0.02,0.36,0.3,0.76,0.33,-0.1,-0.05,,
Athens-Clarke County,GA,12020,0.2,0.13,-0.06,(D),(D),0.91,(D),(D),0.38,0.03,0.16,0.16,0,-0.52,,
Atlanta-Sandy Springs-Roswell,GA,12060,2,0.03,(D),(D),(D),(D),0.17,(D),0.4,0.25,0.3,0.08,0,-0.22,,
Atlantic City-Hammonton,NJ,12100,-0.8,(D),-0.39,-0.04,-0.06,(D),-0.16,0.14,-0.03,0.14,0.26,-0.49,0.15,-0.29,,
Auburn-Opelika,AL,12220,3.4,-0.03,-0.2,0.02,2.02,0.28,0.07,-0.02,0.96,0.22,-0.16,0.24,0.14,-0.15,,
Augusta-Richmond County,GA-SC,12260,-1.2,0.14,-0.67,0.02,(D),0.14,(D),-0.08,0.57,-0.7,-0.23,0.29,0.02,-0.71,,
Austin-Round Rock,TX,12420,2.2,-0.54,0.29,0.13,0.36,-0.19,-0.48,0.16,0.97,0.85,0.21,0.23,0.14,0.06,,
