City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Abilene,TX,10180,3574,3754,4020,4273,4514,4885,5295,5491,5239,5272,5427,5771,5924,-4.6,0.6,3,6.3,2.6,109
Akron,OH,10420,21646,22742,23744,25217,26649,27418,28177,29620,27761,28438,28825,29709,29662,-6.3,2.4,1.4,3.1,-0.2,303
Albany,GA,10500,4317,4346,4492,4620,4800,4808,4863,4917,4957,4868,4753,4813,4857,0.8,-1.8,-2.4,1.3,0.9,225
Albany,OR,10540,2366,2492,2492,2844,2944,3207,3173,3153,3064,2974,3017,3114,3130,-2.8,-3,1.4,3.2,0.5,256
Albany-Schenectady-Troy,NY,10580,30669,31631,33480,35672,37027,38609,39209,41478,42454,42470,42469,43146,43562,2.4,0,0,1.6,1,218
Albuquerque,NM,10740,28812,29179,31557,35255,35794,36760,36690,37925,38110,38386,39069,39669,39618,0.5,0.7,1.8,1.5,-0.1,301
Alexandria,LA,10780,3380,3559,3684,4066,4352,4823,5076,5358,5307,5404,5004,5022,4995,-0.9,1.8,-7.4,0.4,-0.5,319
Allentown-Bethlehem-Easton,PA-NJ,10900,23857,24717,24699,25788,27204,28631,29874,31200,30082,31142,31447,31979,32416,-3.6,3.5,1,1.7,1.4,192
Altoona,PA,11020,3295,3333,3468,3638,3832,3992,4197,4357,4334,4353,4327,4393,4449,-0.5,0.4,-0.6,1.5,1.3,200
Amarillo,TX,11100,6405,6640,7076,7561,8027,8728,9232,9737,9742,9932,9937,10219,10546,0.1,1.9,0.1,2.8,3.2,86
Ames,IA,11180,2702,2778,3010,3251,3370,3742,3876,4676,4246,4541,4327,4504,4648,-9.2,6.9,-4.7,4.1,3.2,85
Anchorage,AK,11260,15496,16111,17396,19307,22010,23786,25687,24167,26771,26379,26967,28393,27487,10.8,-1.5,2.2,5.3,-3.2,374
Ann Arbor,MI,11460,15947,17166,17818,18051,18565,18764,19585,19624,18573,19213,18961,19260,19389,-5.4,3.4,-1.3,1.6,0.7,242
Anniston-Oxford-Jacksonville,AL,11500,2522,2674,2862,3188,3403,3558,3788,3962,3743,3777,3707,3625,3518,-5.5,0.9,-1.9,-2.2,-3,371
Appleton,WI,11540,7602,7639,8117,8695,9091,9414,9868,10054,10035,10042,10187,10267,10393,-0.2,0.1,1.4,0.8,1.2,202
Asheville,NC,11700,9741,10224,10657,11422,12126,13037,13471,14271,14334,14219,14085,14353,14787,0.4,-0.8,-0.9,1.9,3,94
Athens-Clarke County,GA,12020,4755,4853,5117,5385,5730,5945,6210,6685,6615,6663,6652,6777,6792,-1,0.7,-0.2,1.9,0.2,275
Atlanta-Sandy Springs-Roswell,GA,12060,214894,220459,226723,237610,254175,267250,280130,283754,272865,274941,278326,282468,288175,-3.8,0.8,1.2,1.5,2,151
Atlantic City-Hammonton,NJ,12100,10709,11310,11910,12363,13269,13892,13845,13827,13015,13042,12782,12868,12760,-5.9,0.2,-2,0.7,-0.8,331
Auburn-Opelika,AL,12220,2306,2455,2597,2893,3123,3346,3489,3775,3692,3843,4040,4152,4293,-2.2,4.1,5.1,2.8,3.4,73
Augusta-Richmond County,GA-SC,12260,14847,15120,15812,16309,17033,17424,17880,18783,18780,19352,19634,19740,19497,0,3,1.5,0.5,-1.2,347
Austin-Round Rock,TX,12420,53899,54563,57593,62795,68305,75136,78207,83520,81743,86546,90380,96035,98126,-2.1,5.9,4.4,6.3,2.2,142
Bakersfield,CA,12540,16884,18362,19929,22220,25107,27929,30877,29235,30667,31151,30698,33018,33408,4.9,1.6,-1.5,7.6,1.2,207
Baltimore-Columbia-Towson,MD,12580,103108,108347,112983,121918,129441,136561,142126,147471,146943,151820,154195,157268,158746,-0.4,3.3,1.6,2,0.9,223
Bangor,ME,12620,4174,4379,4480,4788,4939,5171,5305,5441,5349,5298,5247,5291,5295,-1.7,-0.9,-1,0.8,0.1,286
